Date,Type,Value,Transaction Currency,Gross Amount,Currency Gross Amount,Exchange Rate,Fees,Taxes,Shares,ISIN,WKN,Ticker Symbol,Security Name,Note,
17.06.2021,Buy,2062.68,EUR,,,,4.56,,30.0000,IE00B4L5Y983,,,iShsIII-Cor.MSCI Wld UCITS ETF,Deutschland,
02.06.2021,Buy,1074.45,EUR,,,,3.25,,8.0000,DE0005810055,,,DEUTSCHE B�RSE AG,Deutschland,
08.06.2021,Buy,309.12,EUR,,,,3.25,,18.0000,DE000A28M8D0,,,VanEck Vectors Bitcoin ETN 31.12.2029,Deutschland,
12.05.2021,Buy,641.01,EUR,,,,0.0,,9.6500,IE00B4L5Y983,,,iShsIII-Cor.MSCI Wld UCITS ETF,Deutschland,
